model,q,q_std,n_splines_q,lam_q,lam_temp,lam_wind,lam_solar,edof_total,r2_train,r2_val_100,rmse_val_100,mae_val_100,r2_val_energy_100,pearson_ALL_100,spearman_ALL_100,r2_val_1000,rmse_val_1000,mae_val_1000,pearson_ALL_1000,spearman_ALL_1000
QGAM,demand_minus_renewables,demand_minus_renewables_std,20,50,50,5,20,72.32386643833527,0.9908182084278334,0.9839993630534933,754.7950599916834,607.8363599017042,0.9839993630534933,0.20034228634760537,0.4312821425946047,0.9839993630534933,754.7950599916834,607.8363599017042,0.44198086129103237,0.510669905246766
QGAM,demand_minus_renewables,demand_minus_renewables_std,20,50,50,5,50,71.11162654988766,0.9908177350471764,0.9840011370478462,754.7532166796193,607.8154455975465,0.9840011370478462,0.20033961423250338,0.4312900198046817,0.9840011370478462,754.7532166796193,607.8154455975465,0.4419979886875732,0.5106766294944215
QGAM,demand_minus_renewables,demand_minus_renewables_std,20,50,50,10,20,71.59332636211701,0.9908182026025303,0.9839989822040023,754.8040428092064,607.8450245451643,0.9839989822040023,0.20034360984579053,0.4312720159276173,0.9839989822040023,754.8040428092064,607.8450245451643,0.4419830501163482,0.5106626802588022
QGAM,demand_minus_renewables,demand_minus_renewables_std,20,50,50,10,50,70.38108777885516,0.9908177291871529,0.9840007578168776,754.7621618183512,607.8240677500071,0.9840007578168776,0.20034093668342112,0.4312625869602989,0.9840007578168776,754.7621618183512,607.8240677500071,0.4420001765768999,0.5106741286728604
QGAM,demand_minus_renewables,demand_minus_renewables_std,20,50,50,20,20,70.79341619221988,0.9908181891445463,0.9839983942981358,754.817909103663,607.8585277764903,0.9839983942981358,0.2003455319847433,0.43126623258027036,0.9839983942981358,754.817909103663,607.8585277764903,0.4419862072611461,0.5106577967925362
QGAM,demand_minus_renewables,demand_minus_renewables_std,20,50,50,20,50,69.58117928953709,0.9908177157062105,0.984000172493218,754.7759679757025,607.8375025916533,0.984000172493218,0.2003428571265138,0.4312836640197866,0.984000172493218,754.7759679757025,607.8375025916533,0.4420033322619756,0.5106788720587855
QGAM,demand_minus_renewables,demand_minus_renewables_std,20,50,50,50,20,69.65045441318124,0.9908181527039763,0.9839973772678576,754.8418960861236,607.8824103327387,0.9839973772678576,0.20034846357847977,0.43126306781311424,0.9839973772678576,754.8418960861236,607.8824103327387,0.4419907621517266,0.5106636755243454
QGAM,demand_minus_renewables,demand_minus_renewables_std,20,50,50,50,50,68.43822048211634,0.9908176793034731,0.9839991601817571,754.799844991786,607.8612184854059,0.9839991601817571,0.20034578495253128,0.4312617448208571,0.9839991601817571,754.799844991786,607.8612184854059,0.44200788332559154,0.5106732430323997
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,20,20,5,20,73.64331015825918,0.9908185417248857,0.9840507622321351,753.5817629031209,606.9961394640426,0.9840507622321351,0.19765839624051323,0.42998679613916413,0.9840507622321351,753.5817629031209,606.9961394640426,0.4364775026216257,0.5091289811327142
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,20,20,5,50,72.43105445050591,0.9908180678717964,0.9840525444369528,753.5396582399225,606.9750991814681,0.9840525444369528,0.19764913051969002,0.4299920607348109,0.9840525444369528,753.5396582399225,606.9750991814681,0.4364816816085925,0.509148059262611
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,20,20,10,20,72.91276741645272,0.9908185359309069,0.9840503791712956,753.5908124242856,607.0048429202714,0.9840503791712956,0.19766127132203987,0.42998257907430576,0.9840503791712956,753.5908124242856,607.0048429202714,0.43648284362240997,0.5091336909597589
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,20,20,10,50,71.70051301142475,0.9908180620428464,0.9840521630289257,753.5486692183432,606.983756812209,0.9840521630289257,0.19765200018357332,0.42998289171518644,0.9840521630289257,753.5486692183432,606.983756812209,0.4364870128944806,0.5091435049740216
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,20,20,20,20,72.11285359847889,0.9908185224801358,0.9840497890670776,753.6047529752453,607.018413145768,0.9840497890670776,0.19766549306039044,0.42999412018453304,0.9840497890670776,753.6047529752453,607.018413145768,0.43649068143324127,0.5091408770491771
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,20,20,20,50,70.900600869923,0.9908180485688297,0.9840515755615645,753.5625482532354,606.9972188575589,0.9840515755615645,0.19765621318186286,0.4299825251824419,0.9840515755615645,753.5625482532354,606.9972188575589,0.43649483508769743,0.5091366474994722
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,20,20,50,20,70.96988556944899,0.9908184859292355,0.9840487699798042,753.6288271630258,607.042502646553,0.9840487699798042,0.19767204971554378,0.4300008003953495,0.9840487699798042,753.6288271630258,607.042502646553,0.4365026402176191,0.5091477478999188
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,20,20,50,50,69.7576358040638,0.9908180120555841,0.9840505613010118,753.5865097617306,607.0211021306245,0.9840505613010118,0.1976627521695759,0.4299957475721202,0.9840505613010118,753.5865097617306,607.0211021306245,0.4365067620846731,0.5091405370346003
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,20,50,5,20,72.99450153702688,0.9908184640279961,0.9840500130079104,753.599462654351,606.9995368520766,0.9840500130079104,0.19766736339393595,0.4299826369341079,0.9840500130079104,753.599462654351,606.9995368520766,0.4364986928685097,0.5091463767251704
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,20,50,5,50,71.78225720741034,0.9908179902743462,0.9840517696068128,753.5579639233822,606.9786973920773,0.9840517696068128,0.19765810422641872,0.42999244120524777,0.9840517696068128,753.5579639233822,606.9786973920773,0.43650289548742977,0.5091505143379373
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,20,50,10,20,72.26396014695649,0.9908184582334201,0.9840496349883395,753.6083928703345,607.0082728146147,0.9840496349883395,0.1976702301146115,0.43001094672544804,0.9840496349883395,753.6083928703345,607.0082728146147,0.436504015342388,0.509158333723297
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,20,50,10,50,71.05171712178407,0.9908179844448336,0.9840513932137567,753.5668562049881,606.9873865005989,0.9840513932137567,0.19766096552270387,0.42999148809793897,0.9840513932137567,753.5668562049881,606.9873865005989,0.4365082082371205,0.5091515774170022
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,20,50,20,20,71.46404832233313,0.9908184447937517,0.9840490515158753,753.6221764334267,607.0218717812593,0.9840490515158753,0.1976744393625159,0.43000495403447825,0.9840490515158753,753.6221764334267,607.0218717812593,0.4365118256136246,0.5091573057616059
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,20,50,20,50,70.25180697659556,0.9908179709819513,0.9840508123340471,753.5805792754951,607.000896890918,0.9840508123340471,0.19766516602288678,0.4299936280479902,0.9840508123340471,753.5805792754951,607.000896890918,0.43651600288360204,0.5091565397367639
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,20,50,50,20,70.32108402615962,0.9908184082986925,0.9840480424120278,753.6460142325184,607.0459364911277,0.9840480424120278,0.19768097593033657,0.4300096591355949,0.9840480424120278,753.6460142325184,607.0459364911277,0.43652373985257503,0.5091557488017481
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,20,50,50,50,69.10884565043428,0.9908179345245224,0.9840498079596899,753.6043066624445,607.0247726291572,0.9840498079596899,0.19767168491885295,0.43001074767381725,0.9840498079596899,753.6043066624445,607.0247726291572,0.4365278853533407,0.5091604628442132
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,50,20,5,20,72.97267199335846,0.9908182861301855,0.9840001134881186,754.7773597278929,607.8332115089756,0.9840001134881186,0.20033716008875546,0.4312589823844166,0.9840001134881186,754.7773597278929,607.8332115089756,0.4419674113610293,0.5106496103719118
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,50,20,5,50,71.76042072415098,0.9908178126501076,0.9840019132133832,754.734908486636,607.812024067753,0.9840019132133832,0.20033448453232464,0.4312646810698785,0.9840019132133832,754.734908486636,607.812024067753,0.4419845219882613,0.5106681755562691
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,50,20,10,20,72.2421305648934,0.9908182803053731,0.9839997275762028,754.786462161848,607.841844416474,0.9839997275762028,0.20033848853149333,0.4312688475899143,0.9839997275762028,754.786462161848,607.841844416474,0.4419696116751318,0.5106572010686837
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,50,20,10,50,71.02988059915099,0.9908178067905395,0.9840015289462049,754.7439726364946,607.8206252942861,0.9840015289462049,0.20033581192838798,0.43127416986805367,0.9840015289462049,754.7439726364946,607.8206252942861,0.4419867213641399,0.5106670853609816
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,50,20,20,20,71.44221840098471,0.9908182668361806,0.9839991330096871,754.8004858789445,607.8553133791526,0.9839991330096872,0.20034041806592304,0.4312523772439139,0.9839991330096871,754.8004858789445,607.8553133791526,0.4419727858630882,0.5106490087473456
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,50,20,20,50,70.22997011285625,0.9908177932983556,0.9840009370058864,754.7579351974648,607.8340286736274,0.9840009370058864,0.200337739765949,0.4312622917692216,0.9840009370058864,754.7579351974648,607.8340286736274,0.4419898940829412,0.510676112806695
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,50,20,50,20,70.29925288812443,0.9908182303397401,0.9839981059501337,754.8247099603913,607.8792259239749,0.9839981059501337,0.2003433616975709,0.43126611210534416,0.9839981059501337,754.8247099603913,607.8792259239749,0.4419773686896532,0.5106648236578503
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,50,20,50,50,69.08700756476888,0.9908177568397714,0.9839999147621658,754.7820470543971,607.8577795583582,0.9839999147621658,0.20034067962223093,0.43126099671354134,0.9839999147621658,754.7820470543971,607.8577795583582,0.44199447304134737,0.5106657569571188
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,50,50,5,20,72.32386643833527,0.9908182084278334,0.9839993630534933,754.7950599916834,607.8363599017042,0.9839993630534933,0.20034228634760537,0.4312821425946047,0.9839993630534933,754.7950599916834,607.8363599017042,0.44198086129103237,0.510669905246766
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,50,50,5,50,71.11162654988766,0.9908177350471764,0.9840011370478462,754.7532166796193,607.8154455975465,0.9840011370478462,0.20033961423250338,0.4312900198046817,0.9840011370478462,754.7532166796193,607.8154455975465,0.4419979886875732,0.5106766294944215
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,50,50,10,20,71.59332636211701,0.9908182026025303,0.9839989822040023,754.8040428092064,607.8450245451643,0.9839989822040023,0.20034360984579053,0.4312720159276173,0.9839989822040023,754.8040428092064,607.8450245451643,0.4419830501163482,0.5106626802588022
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,50,50,10,50,70.38108777885516,0.9908177291871529,0.9840007578168776,754.7621618183512,607.8240677500071,0.9840007578168776,0.20034093668342112,0.4312625869602989,0.9840007578168776,754.7621618183512,607.8240677500071,0.4420001765768999,0.5106741286728604
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,50,50,20,20,70.79341619221988,0.9908181891445463,0.9839983942981358,754.817909103663,607.8585277764903,0.9839983942981358,0.2003455319847433,0.43126623258027036,0.9839983942981358,754.817909103663,607.8585277764903,0.4419862072611461,0.5106577967925362
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,50,50,20,50,69.58117928953709,0.9908177157062105,0.984000172493218,754.7759679757025,607.8375025916533,0.984000172493218,0.2003428571265138,0.4312836640197866,0.984000172493218,754.7759679757025,607.8375025916533,0.4420033322619756,0.5106788720587855
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,50,50,50,20,69.65045441318124,0.9908181527039763,0.9839973772678576,754.8418960861236,607.8824103327387,0.9839973772678576,0.20034846357847977,0.43126306781311424,0.9839973772678576,754.8418960861236,607.8824103327387,0.4419907621517266,0.5106636755243454
QGAM,demand_minus_renewables,demand_minus_renewables_std,50,50,50,50,50,68.43822048211634,0.9908176793034731,0.9839991601817571,754.799844991786,607.8612184854059,0.9839991601817571,0.20034578495253128,0.4312617448208571,0.9839991601817571,754.799844991786,607.8612184854059,0.44200788332559154,0.5106732430323997
